
Nome: Anti Tudo [Ultimate] II | id: 70146 | precoRop: 395c | precoZenny: 1z | Atual: 388.0c | 05/02/2026 13:13:44
Nome: Jewelry Ant Card | id: 300006 | precoRop: 6.650c | precoZenny: 1z | Atual: 6399.0c | 05/02/2026 13:15:03
Nome: Essência Lapine 1ª Linha  | id: 47083 | precoRop: 9.999c | precoZenny: 9.000.000z | Atual: 9998.0c | 05/02/2026 13:15:16
Nome: Anti Tudo [Ultimate] II | id: 70146 | precoRop: 395c | precoZenny: 1z | Atual: 388.0c | 05/02/2026 13:15:43
Nome: Jewelry Ant Card | id: 300006 | precoRop: 6.650c | precoZenny: 1z | Atual: 6399.0c | 05/02/2026 13:17:02
Nome: Essência Lapine 1ª Linha  | id: 47083 | precoRop: 9.999c | precoZenny: 9.000.000z | Atual: 9998.0c | 05/02/2026 13:17:15
Nome: Moeda de Instância | id: 30010 | precoRop: 40c | precoZenny: 5.000.000z | Atual: 36.0c | 05/02/2026 13:17:28
Nome: Anti Tudo [Ultimate] II | id: 70146 | precoRop: 395c | precoZenny: 1z | Atual: 388.0c | 05/02/2026 13:17:42
Nome: Jewelry Ant Card | id: 300006 | precoRop: 6.650c | precoZenny: 1z | Atual: 6399.0c | 05/02/2026 13:19:01
Nome: Essência Lapine 1ª Linha  | id: 47083 | precoRop: 9.999c | precoZenny: 9.000.000z | Atual: 9998.0c | 05/02/2026 13:19:14
Nome: Moeda de Instância | id: 30010 | precoRop: 40c | precoZenny: 5.000.000z | Atual: 36.0c | 05/02/2026 13:19:27
Nome: Anti Tudo [Ultimate] II | id: 70146 | precoRop: 395c | precoZenny: 1z | Atual: 388.0c | 05/02/2026 13:19:40
Nome: Jewelry Ant Card | id: 300006 | precoRop: 6.650c | precoZenny: 1z | Atual: 6399.0c | 05/02/2026 13:21:01
Nome: Essência Lapine 1ª Linha  | id: 47083 | precoRop: 9.999c | precoZenny: 9.000.000z | Atual: 9998.0c | 05/02/2026 13:21:14
Nome: Moeda de Instância | id: 30010 | precoRop: 40c | precoZenny: 5.000.000z | Atual: 36.0c | 05/02/2026 13:21:27
Nome: Anti Tudo [Ultimate] II | id: 70146 | precoRop: 395c | precoZenny: 1z | Atual: 388.0c | 05/02/2026 13:21:40
Nome: Jewelry Ant Card | id: 300006 | precoRop: 6.650c | precoZenny: 1z | Atual: 6399.0c | 05/02/2026 13:22:59
Nome: Essência Lapine 1ª Linha  | id: 47083 | precoRop: 9.999c | precoZenny: 9.000.000z | Atual: 9998.0c | 05/02/2026 13:23:12
